#timebase=40000000(ps),#voltbase=1000000(uV)

2.48000E-05,3320.000
2.50000E-05,3280.000
2.52000E-05,3240.000
2.54000E-05,3280.000
2.56000E-05,3240.000
2.58000E-05,3280.000
2.60000E-05,3280.000
2.62000E-05,3320.000
2.64000E-05,3280.000
2.66000E-05,3200.000
2.68000E-05,3240.000
2.70000E-05,3240.000
2.72000E-05,3280.000
2.74000E-05,3240.000
2.76000E-05,3280.000
2.78000E-05,3280.000
2.80000E-05,3280.000
2.82000E-05,3320.000
2.84000E-05,3320.000
2.86000E-05,3320.000
2.88000E-05,3320.000
2.90000E-05,3280.000
2.92000E-05,3240.000
2.94000E-05,3240.000
2.96000E-05,3280.000
2.98000E-05,3240.000
3.00000E-05,3200.000
3.02000E-05,3280.000
3.04000E-05,3240.000
3.06000E-05,3280.000
3.08000E-05,3320.000
3.10000E-05,3240.000
3.12000E-05,3280.000
3.14000E-05,3280.000
3.16000E-05,3280.000
3.18000E-05,3200.000
3.20000E-05,3240.000
3.22000E-05,3280.000
3.24000E-05,3280.000
3.26000E-05,3240.000
3.28000E-05,3320.000
3.30000E-05,3240.000
3.32000E-05,3240.000
3.34000E-05,3280.000
3.36000E-05,3200.000
3.38000E-05,3280.000
3.40000E-05,3280.000
3.42000E-05,3320.000
3.44000E-05,3320.000
3.46000E-05,3320.000
3.48000E-05,3280.000
3.50000E-05,3320.000
3.52000E-05,3240.000
3.54000E-05,3240.000
3.56000E-05,3280.000
3.58000E-05,3240.000
3.60000E-05,3280.000
3.62000E-05,3240.000
3.64000E-05,3280.000
3.66000E-05,3320.000
3.68000E-05,3280.000
3.70000E-05,3280.000
3.72000E-05,3240.000
3.74000E-05,3280.000
3.76000E-05,3280.000
3.78000E-05,3280.000
3.80000E-05,3280.000
3.82000E-05,3240.000
3.84000E-05,3320.000
3.86000E-05,3280.000
3.88000E-05,3240.000
3.90000E-05,3240.000
3.92000E-05,3280.000
3.94000E-05,3200.000
3.96000E-05,3240.000
3.98000E-05,3320.000
4.00000E-05,3320.000
4.02000E-05,3240.000
4.04000E-05,3240.000
4.06000E-05,3280.000
4.08000E-05,3320.000
4.10000E-05,3200.000
4.12000E-05,3280.000
4.14000E-05,3280.000
4.16000E-05,3320.000
4.18000E-05,3280.000
4.20000E-05,3240.000
4.22000E-05,3280.000
4.24000E-05,3280.000
4.26000E-05,3280.000
4.28000E-05,3320.000
4.30000E-05,3280.000
4.32000E-05,3320.000
4.34000E-05,3240.000
4.36000E-05,3280.000
4.38000E-05,3240.000
4.40000E-05,3280.000
4.42000E-05,3320.000
4.44000E-05,3280.000
4.46000E-05,3240.000
4.48000E-05,3240.000
4.50000E-05,3240.000
4.52000E-05,3200.000
4.54000E-05,3240.000
4.56000E-05,3280.000
4.58000E-05,3280.000
4.60000E-05,3280.000
4.62000E-05,3280.000
4.64000E-05,3280.000
4.66000E-05,3240.000
4.68000E-05,3280.000
4.70000E-05,3240.000
4.72000E-05,3280.000
4.74000E-05,3280.000
4.76000E-05,3240.000
4.78000E-05,3280.000
4.80000E-05,3240.000
4.82000E-05,3280.000
4.84000E-05,3280.000
4.86000E-05,3240.000
4.88000E-05,3320.000
4.90000E-05,3280.000
4.92000E-05,3240.000
4.94000E-05,3280.000
4.96000E-05,3280.000
4.98000E-05,3240.000
5.00000E-05,3320.000
5.02000E-05,3240.000
5.04000E-05,3240.000
5.06000E-05,3280.000
5.08000E-05,3320.000
5.10000E-05,3280.000
5.12000E-05,3320.000
5.14000E-05,3320.000
5.16000E-05,3240.000
5.18000E-05,3240.000
5.20000E-05,3280.000
5.22000E-05,3240.000
5.24000E-05,3240.000
5.26000E-05,3280.000
5.28000E-05,3240.000
5.30000E-05,3280.000
5.32000E-05,3280.000
5.34000E-05,3320.000
5.36000E-05,3280.000
5.38000E-05,3200.000
5.40000E-05,3280.000
5.42000E-05,3320.000
5.44000E-05,3280.000
5.46000E-05,3280.000
5.48000E-05,3280.000
5.50000E-05,3240.000
5.52000E-05,3320.000
5.54000E-05,3280.000
5.56000E-05,3200.000
5.58000E-05,3280.000
5.60000E-05,3320.000
5.62000E-05,3280.000
5.64000E-05,3280.000
5.66000E-05,3280.000
5.68000E-05,3280.000
5.70000E-05,3240.000
5.72000E-05,3280.000
5.74000E-05,3280.000
5.76000E-05,3320.000
5.78000E-05,3240.000
5.80000E-05,3240.000
5.82000E-05,3280.000
5.84000E-05,3280.000
5.86000E-05,3280.000
5.88000E-05,3280.000
5.90000E-05,3280.000
5.92000E-05,3320.000
5.94000E-05,3280.000
5.96000E-05,3320.000
5.98000E-05,3320.000
6.00000E-05,3320.000
6.02000E-05,3240.000
6.04000E-05,3280.000
6.06000E-05,3280.000
6.08000E-05,3320.000
6.10000E-05,3240.000
6.12000E-05,3240.000
6.14000E-05,3280.000
6.16000E-05,3240.000
6.18000E-05,3240.000
6.20000E-05,3320.000
6.22000E-05,3280.000
6.24000E-05,3280.000
6.26000E-05,3320.000
6.28000E-05,3240.000
6.30000E-05,3280.000
6.32000E-05,3320.000
6.34000E-05,3280.000
6.36000E-05,3280.000
6.38000E-05,3320.000
6.40000E-05,3280.000
6.42000E-05,3240.000
6.44000E-05,3280.000
6.46000E-05,3280.000
6.48000E-05,3280.000
6.50000E-05,3240.000
6.52000E-05,3240.000
6.54000E-05,3280.000
6.56000E-05,3320.000
6.58000E-05,3240.000
6.60000E-05,3280.000
6.62000E-05,3320.000
6.64000E-05,3280.000
6.66000E-05,3280.000
6.68000E-05,3280.000
6.70000E-05,3240.000
6.72000E-05,3280.000
6.74000E-05,3320.000
6.76000E-05,3280.000
6.78000E-05,3240.000
6.80000E-05,3240.000
6.82000E-05,3240.000
6.84000E-05,3200.000
6.86000E-05,3280.000
6.88000E-05,3240.000
6.90000E-05,3240.000
6.92000E-05,3280.000
6.94000E-05,3240.000
6.96000E-05,3280.000
6.98000E-05,3240.000
7.00000E-05,3240.000
7.02000E-05,3280.000
7.04000E-05,3320.000
7.06000E-05,3280.000
7.08000E-05,3240.000
7.10000E-05,3280.000
7.12000E-05,3280.000
7.14000E-05,3320.000
7.16000E-05,3240.000
7.18000E-05,3280.000
7.20000E-05,3280.000
7.22000E-05,3280.000
7.24000E-05,3320.000
7.26000E-05,3240.000
7.28000E-05,3240.000
7.30000E-05,3240.000
7.32000E-05,3320.000
7.34000E-05,3240.000
7.36000E-05,3280.000
7.38000E-05,3320.000
